Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
2449,Entry long,2026-04-09 09:30,[CC] BUY NY,25081.25,2,1003250,631,0.06,9,635.5,0.06,-14.5,0.00,126249.5,50.50,0
2450,Exit long,2026-04-10 09:30,NQ09B BUY NY STOP,25314.25,2,1012620,-59,-0.01,9,0,0.00,-54.5,-0.01,126190.5,50.48,0
2450,Entry long,2026-04-10 09:30,[CC] BUY NY,25315.5,2,1012620,-59,-0.01,9,0,0.00,-54.5,-0.01,126190.5,50.48,0
2451,Exit long,2026-04-12 18:00,NQ09B BUY WEEKLY W80,24990.25,2,999210,391,0.04,9,395.5,0.04,-14.5,0.00,126581.5,50.63,0
2451,Entry long,2026-04-12 18:00,[CC] BUY WEEKLY,24980.25,2,999210,391,0.04,9,395.5,0.04,-14.5,0.00,126581.5,50.63,0
2452,Exit long,2026-04-13 09:30,NQ09B BUY NY STOP,25214.75,2,1008640,-59,-0.01,9,0,0.00,-54.5,-0.01,126522.5,50.61,0
2452,Entry long,2026-04-13 09:30,[CC] BUY NY,25216,2,1008640,-59,-0.01,9,0,0.00,-54.5,-0.01,126522.5,50.61,0
2453,Exit long,2026-04-13 18:00,NQ09B BUY WEEKDAY 1800 STOP,25574.25,2,1023020,-59,-0.01,9,0,0.00,-54.5,-0.01,126463.5,50.59,0
2453,Entry long,2026-04-13 18:00,[CC] BUY PREMIUM,25575.5,2,1023020,-59,-0.01,9,0,0.00,-54.5,-0.01,126463.5,50.59,0
2454,Exit long,2026-04-14 09:30,NQ09B BUY NY N130 TP2,25672.5,2,1026260,631,0.06,9,635.5,0.06,-24.5,0.00,127094.5,50.84,0
2454,Entry long,2026-04-14 09:30,[CC] BUY NY,25656.5,2,1026260,631,0.06,9,635.5,0.06,-24.5,0.00,127094.5,50.84,0
2455,Exit long,2026-04-15 09:30,NQ09B BUY NY N130 TP2,26039.75,2,1040950,631,0.06,9,635.5,0.06,-14.5,0.00,127725.5,51.09,0
2455,Entry long,2026-04-15 09:30,[CC] BUY NY,26023.75,2,1040950,631,0.06,9,635.5,0.06,-14.5,0.00,127725.5,51.09,0
2456,Exit long,2026-04-16 09:30,NQ09B BUY NY STOP,26438,2,1057570,-59,-0.01,9,555.5,0.05,-54.5,-0.01,127666.5,51.07,0
2456,Entry long,2026-04-16 09:30,[CC] BUY NY,26439.25,2,1057570,-59,-0.01,9,555.5,0.05,-54.5,-0.01,127666.5,51.07,0
2457,Exit long,2026-04-17 09:30,NQ09B BUY NY N130 TP2,26708.75,2,1067710,631,0.06,9,635.5,0.06,-14.5,0.00,128297.5,51.32,0
2457,Entry long,2026-04-17 09:30,[CC] BUY NY,26692.75,2,1067710,631,0.06,9,635.5,0.06,-14.5,0.00,128297.5,51.32,0
2458,Exit long,2026-04-19 18:00,NQ09B BUY WEEKLY W80,26610,2,1064000,391,0.04,9,395.5,0.04,-14.5,0.00,128688.5,51.48,0
2458,Entry long,2026-04-19 18:00,[CC] BUY WEEKLY,26600,2,1064000,391,0.04,9,395.5,0.04,-14.5,0.00,128688.5,51.48,0
2459,Exit long,2026-04-20 09:30,NQ09B BUY NY N130 TP2,26812.75,2,1071870,631,0.06,9,635.5,0.06,-14.5,0.00,129319.5,51.73,0
2459,Entry long,2026-04-20 09:30,[CC] BUY NY,26796.75,2,1071870,631,0.06,9,635.5,0.06,-14.5,0.00,129319.5,51.73,0
2460,Exit long,2026-04-20 18:00,NQ09B BUY WEEKDAY 1800 STOP,26775.75,1,535540,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,129290,51.72,0
2460,Entry long,2026-04-20 18:00,[CC] BUY WEAK,26777,1,535540,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,129290,51.72,0
2461,Exit long,2026-04-21 09:30,NQ09B BUY NY N130 TP2,26824.25,2,1072330,631,0.06,9,635.5,0.06,-14.5,0.00,129921,51.97,0
2461,Entry long,2026-04-21 09:30,[CC] BUY NY,26808.25,2,1072330,631,0.06,9,635.5,0.06,-14.5,0.00,129921,51.97,0
2462,Exit long,2026-04-21 18:00,NQ09B BUY WEEKDAY 1800 STOP,26728.5,2,1069190,-59,-0.01,9,0,0.00,-54.5,-0.01,129862,51.94,0
2462,Entry long,2026-04-21 18:00,[CC] BUY PREMIUM,26729.75,2,1069190,-59,-0.01,9,0,0.00,-54.5,-0.01,129862,51.94,0
2463,Exit long,2026-04-22 09:30,NQ09B BUY NY STOP,26880,2,1075250,-59,-0.01,9,455.5,0.04,-54.5,-0.01,129803,51.92,0
2463,Entry long,2026-04-22 09:30,[CC] BUY NY,26881.25,2,1075250,-59,-0.01,9,455.5,0.04,-54.5,-0.01,129803,51.92,0
2464,Exit long,2026-04-22 18:00,NQ09B BUY WEEKDAY 1800 STOP,27074,1,541505,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,129773.5,51.91,0
2464,Entry long,2026-04-22 18:00,[CC] BUY WEAK,27075.25,1,541505,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,129773.5,51.91,0
2465,Exit long,2026-04-23 09:30,NQ09B BUY NY STOP,27013.25,2,1080580,-59,-0.01,9,105.5,0.01,-54.5,-0.01,129714.5,51.89,0
2465,Entry long,2026-04-23 09:30,[CC] BUY NY,27014.5,2,1080580,-59,-0.01,9,105.5,0.01,-54.5,-0.01,129714.5,51.89,0
2466,Exit long,2026-04-23 18:00,NQ09B BUY WEEKDAY 1800 D80,27002.25,1,539845,195.5,0.04,4.5,197.75,0.04,-7.25,0.00,129910,51.96,0
2466,Entry long,2026-04-23 18:00,[CC] BUY WEAK,26992.25,1,539845,195.5,0.04,4.5,197.75,0.04,-7.25,0.00,129910,51.96,0
2467,Exit long,2026-04-24 09:30,NQ09B BUY NY STOP,27209,2,1088410,-59,-0.01,9,0,0.00,-54.5,-0.01,129851,51.94,0
2467,Entry long,2026-04-24 09:30,[CC] BUY NY,27210.25,2,1088410,-59,-0.01,9,0,0.00,-54.5,-0.01,129851,51.94,0
2468,Exit long,2026-04-26 18:00,NQ09B BUY WEEKLY W80,27413.5,2,1096140,391,0.04,9,395.5,0.04,-14.5,0.00,130242,52.10,0
2468,Entry long,2026-04-26 18:00,[CC] BUY WEEKLY,27403.5,2,1096140,391,0.04,9,395.5,0.04,-14.5,0.00,130242,52.10,0
2469,Exit long,2026-04-27 09:30,NQ09B BUY NY N130 TP2,27427,2,1096440,631,0.06,9,635.5,0.06,-14.5,0.00,130873,52.35,0
2469,Entry long,2026-04-27 09:30,[CC] BUY NY,27411,2,1096440,631,0.06,9,635.5,0.06,-14.5,0.00,130873,52.35,0
2470,Exit long,2026-04-28 09:30,NQ09B BUY NY STOP,27160,2,1086450,-59,-0.01,9,45.5,0.00,-54.5,-0.01,130814,52.33,0
2470,Entry long,2026-04-28 09:30,[CC] BUY NY,27161.25,2,1086450,-59,-0.01,9,45.5,0.00,-54.5,-0.01,130814,52.33,0
2471,Exit long,2026-04-29 09:30,NQ09B BUY NY STOP,27205.75,2,1088280,-59,-0.01,9,435.5,0.04,-54.5,-0.01,130755,52.30,0
