Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1355,Exit short,2023-06-14 18:00,NQ09B SELL WEEKDAY 1800 STOP,15223,2,608870,-59,-0.01,9,195.5,0.03,-54.5,-0.01,56834.5,22.73,0
1355,Entry short,2023-06-14 18:00,[CC] SELL PREMIUM,15221.75,2,608870,-59,-0.01,9,195.5,0.03,-54.5,-0.01,56834.5,22.73,0
1356,Exit short,2023-06-15 09:30,NQ09B SELL NY STOP,15142,2,605630,-59,-0.01,9,0,0.00,-54.5,-0.01,56775.5,22.71,0
1356,Entry short,2023-06-15 09:30,[CC] SELL NY,15140.75,2,605630,-59,-0.01,9,0,0.00,-54.5,-0.01,56775.5,22.71,0
1357,Exit short,2023-06-16 09:30,NQ09B SELL NY STOP,15472,2,618830,-59,-0.01,9,0,0.00,-54.5,-0.01,56716.5,22.69,0
1357,Entry short,2023-06-16 09:30,[CC] SELL NY,15470.75,2,618830,-59,-0.01,9,0,0.00,-54.5,-0.01,56716.5,22.69,0
1358,Exit short,2023-06-18 18:00,NQ09B SELL WEEKLY STOP,15304.25,2,612120,-59,-0.01,9,45.5,0.01,-54.5,-0.01,56657.5,22.66,0
1358,Entry short,2023-06-18 18:00,[CC] SELL WEEKLY,15303,2,612120,-59,-0.01,9,45.5,0.01,-54.5,-0.01,56657.5,22.66,0
1359,Exit short,2023-06-19 09:30,NQ09B SELL NY STOP,15252,2,610030,-59,-0.01,9,0,0.00,-54.5,-0.01,56598.5,22.64,0
1359,Entry short,2023-06-19 09:30,[CC] SELL NY,15250.75,2,610030,-59,-0.01,9,0,0.00,-54.5,-0.01,56598.5,22.64,0
1360,Exit short,2023-06-20 09:30,NQ09B SELL NY STOP,15212.5,2,608450,-59,-0.01,9,265.5,0.04,-54.5,-0.01,56539.5,22.62,0
1360,Entry short,2023-06-20 09:30,[CC] SELL NY,15211.25,2,608450,-59,-0.01,9,265.5,0.04,-54.5,-0.01,56539.5,22.62,0
1361,Exit short,2023-06-21 09:30,NQ09B SELL NY STOP,15202.75,2,608060,-59,-0.01,9,0,0.00,-54.5,-0.01,56480.5,22.59,0
1361,Entry short,2023-06-21 09:30,[CC] SELL NY,15201.5,2,608060,-59,-0.01,9,0,0.00,-54.5,-0.01,56480.5,22.59,0
1362,Exit short,2023-06-22 09:30,NQ09B SELL NY N130 TP2,14968.5,2,599250,501,0.08,9,505.5,0.08,-14.5,0.00,56981.5,22.79,0
1362,Entry short,2023-06-22 09:30,[CC] SELL NY,14981.25,2,599250,501,0.08,9,505.5,0.08,-14.5,0.00,56981.5,22.79,0
1363,Exit short,2023-06-22 18:00,NQ09B SELL WEEKDAY 1800 D80,15227.75,2,609430,311,0.05,9,315.5,0.05,-14.5,0.00,57292.5,22.92,0
1363,Entry short,2023-06-22 18:00,[CC] SELL PREMIUM,15235.75,2,609430,311,0.05,9,315.5,0.05,-14.5,0.00,57292.5,22.92,0
1364,Exit short,2023-06-23 09:30,NQ09B SELL NY STOP,15044.5,2,601730,-59,-0.01,9,355.5,0.06,-54.5,-0.01,57233.5,22.89,0
1364,Entry short,2023-06-23 09:30,[CC] SELL NY,15043.25,2,601730,-59,-0.01,9,355.5,0.06,-54.5,-0.01,57233.5,22.89,0
1365,Exit short,2023-06-25 18:00,NQ09B SELL WEEKLY STOP,15058.75,2,602300,-59,-0.01,9,125.5,0.02,-54.5,-0.01,57174.5,22.87,0
1365,Entry short,2023-06-25 18:00,[CC] SELL WEEKLY,15057.5,2,602300,-59,-0.01,9,125.5,0.02,-54.5,-0.01,57174.5,22.87,0
1366,Exit short,2023-06-26 09:30,NQ09B SELL NY STOP,15037.5,2,601450,-59,-0.01,9,465.5,0.08,-54.5,-0.01,57115.5,22.85,0
1366,Entry short,2023-06-26 09:30,[CC] SELL NY,15036.25,2,601450,-59,-0.01,9,465.5,0.08,-54.5,-0.01,57115.5,22.85,0
1367,Exit short,2023-06-27 09:30,NQ09B SELL NY STOP,14918.75,2,596700,-59,-0.01,9,0,0.00,-54.5,-0.01,57056.5,22.82,0
1367,Entry short,2023-06-27 09:30,[CC] SELL NY,14917.5,2,596700,-59,-0.01,9,0,0.00,-54.5,-0.01,57056.5,22.82,0
1368,Exit short,2023-06-28 09:30,NQ09B SELL NY STOP,15030.5,2,601170,-59,-0.01,9,145.5,0.02,-54.5,-0.01,56997.5,22.80,0
1368,Entry short,2023-06-28 09:30,[CC] SELL NY,15029.25,2,601170,-59,-0.01,9,145.5,0.02,-54.5,-0.01,56997.5,22.80,0
1369,Exit short,2023-06-29 09:30,NQ09B SELL NY STOP,15120.25,2,604760,-59,-0.01,9,0,0.00,-54.5,-0.01,56938.5,22.78,0
1369,Entry short,2023-06-29 09:30,[CC] SELL NY,15119,2,604760,-59,-0.01,9,0,0.00,-54.5,-0.01,56938.5,22.78,0
1370,Exit short,2023-06-30 09:30,NQ09B SELL NY N130 TP2,15239,2,610070,501,0.08,9,505.5,0.08,-14.5,0.00,57439.5,22.98,0
1370,Entry short,2023-06-30 09:30,[CC] SELL NY,15251.75,2,610070,501,0.08,9,505.5,0.08,-14.5,0.00,57439.5,22.98,0
1371,Exit short,2023-07-02 18:00,NQ09B SELL WEEKLY STOP,15332,2,613230,-59,-0.01,9,5.5,0.00,-54.5,-0.01,57380.5,22.95,0
1371,Entry short,2023-07-02 18:00,[CC] SELL WEEKLY,15330.75,2,613230,-59,-0.01,9,5.5,0.00,-54.5,-0.01,57380.5,22.95,0
1372,Exit short,2023-07-03 09:30,NQ09B SELL NY N130 TP2,15342.25,2,614200,501,0.08,9,505.5,0.08,-14.5,0.00,57881.5,23.15,0
1372,Entry short,2023-07-03 09:30,[CC] SELL NY,15355,2,614200,501,0.08,9,505.5,0.08,-14.5,0.00,57881.5,23.15,0
