ts_event_utc,ts_recv_utc,price,size,bid,ask,spread_points,quote_state,action,side,flags,sequence,publisher_id,instrument_id,rtype,source_file
2020-03-16 13:45:07.283581465+00:00,2020-03-16 13:45:07.283777223+00:00,7253.0,1,7253.0,7261.25,8.25,VALID,T,A,0,4631036,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.481089003+00:00,2020-03-16 13:45:07.481291692+00:00,7253.0,1,7253.0,7261.25,8.25,VALID,T,A,0,4631202,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.613062531+00:00,2020-03-16 13:45:07.613292112+00:00,7259.25,2,7259.25,7261.25,2.0,VALID,T,A,0,4631284,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.690429383+00:00,2020-03-16 13:45:07.690607250+00:00,7261.25,1,7253.0,7261.25,8.25,VALID,T,B,0,4631347,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.692157217+00:00,2020-03-16 13:45:07.692314717+00:00,7253.0,6,7253.0,7261.25,8.25,VALID,T,A,0,4631350,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.835011669+00:00,2020-03-16 13:45:07.835203437+00:00,7253.0,1,7253.0,7261.25,8.25,VALID,T,A,0,4631464,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.880538433+00:00,2020-03-16 13:45:07.881687843+00:00,7253.0,1,7253.0,7261.25,8.25,VALID,T,A,0,4631480,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:08.034796789+00:00,2020-03-16 13:45:08.034958971+00:00,7253.0,2,7253.0,7261.25,8.25,VALID,T,A,0,4631568,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:08.071001649+00:00,2020-03-16 13:45:08.071170563+00:00,7253.0,2,7253.0,7261.25,8.25,VALID,T,A,0,4631599,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:08.093452521+00:00,2020-03-16 13:45:08.093648131+00:00,7253.0,6,7253.0,7261.25,8.25,VALID,T,A,0,4631616,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
