challenger,Q,alpha,extra_ticks_on_Q_side,net,PF,closed_DD,dev_net,dev_PF,late_net,late_PF,worst_100_active_sessions,max_buy_qty,max_sell_qty,max_gross
CORE_TIER,6,0.35,1.75,405450.0,1.6415764313824157,22650.0,136914.0,1.3434630783587707,268536.0,2.1508800802293737,-19090.0,6,6,12
CORE_TIER,6,0.5,2.5,222030.0,1.3034527436211782,45554.0,26034.0,1.0564070564070565,195996.0,1.7255322220618121,-27190.0,6,6,12
CORE_TIER,6,0.75,3.75,-83670.0,0.9068137243437033,218758.0,-158766.0,0.7196868577724105,75096.0,1.2265400870611871,-40690.0,6,6,12
CORE_TIER,6,1.0,5.0,-389370.0,0.6340779209062485,482020.0,-343566.0,0.48816068220213993,-45804.0,0.883403208931858,-54190.0,6,6,12
CORE_TIER,7,0.0,0.0,971143.0,3.0902056752242713,7824.0,461206.0,2.573845565853592,509937.0,3.972145804676754,-185.0,7,7,14
CORE_TIER,7,0.1,0.6000000000000001,799951.0,2.4344059761013326,10627.0,357718.0,2.0169376847850806,442233.0,3.1475127228934383,-7745.0,7,7,14
CORE_TIER,7,0.25,1.5,543163.0,1.7789561391432047,21617.0,202486.0,1.4603691392661777,340677.0,2.3232127459586267,-19085.0,7,7,14
CORE_TIER,7,0.35,2.0999999999999996,371971.0,1.4706301368476458,33216.0,98998.0,1.198571858389329,272973.0,1.935422078144597,-26645.0,7,7,14
CORE_TIER,7,0.5,3.0,115183.0,1.123855884452932,96320.0,-56234.0,0.904139619245036,171417.0,1.4992456720799645,-37985.0,7,7,14
CORE_TIER,7,0.75,4.5,-312797.0,0.7309634148019707,436379.0,-314954.0,0.5705645106311034,2157.0,1.0050251373351162,-56885.0,7,7,14
CORE_TIER,7,1.0,6.0,-740777.0,0.46910493243204504,816689.0,-573674.0,0.34824881504742083,-167103.0,0.6756112996280565,-75785.0,7,7,14
CORE_TIER,8,0.0,0.0,1108856.0,3.092366681573649,8944.0,526778.0,2.576,582078.0,3.974292678190932,-180.0,8,8,16
CORE_TIER,8,0.1,0.7000000000000001,880600.0,2.3463823046897097,12731.0,388794.0,1.9424440899989819,491806.0,3.036371014156705,-10260.0,8,8,16
CORE_TIER,8,0.25,1.75,538216.0,1.6405861510391064,30132.0,181818.0,1.343072249372606,356398.0,2.148844540862541,-25380.0,8,8,16
CORE_TIER,8,0.35,2.4499999999999997,309960.0,1.321438904726695,57044.0,43834.0,1.0720648146016987,266126.0,1.7474798542823518,-35460.0,8,8,16
CORE_TIER,8,0.5,3.5,-32424.0,0.9718158293442556,231942.0,-163142.0,0.7751905083437831,130718.0,1.3077578676988202,-50580.0,8,8,16
CORE_TIER,8,0.75,5.25,-603064.0,0.5871327805744339,716718.0,-508102.0,0.4485603585808706,-94962.0,0.8239041061597031,-75780.0,8,8,16
CORE_TIER,8,1.0,7.0,-1173704.0,0.3424424842222029,1227300.0,-853062.0,0.24515937217397768,-320642.0,0.5103379081064654,-101179.0,8,8,16
CORE_TIER,9,0.0,0.0,1246569.0,3.0940533185506225,10064.0,592350.0,2.577681539248274,654219.0,3.9759682305739785,-175.0,9,9,18
CORE_TIER,9,0.1,0.8,953097.0,2.2626443679604473,14983.0,414942.0,1.8715218267970561,538155.0,2.930739425250242,-13135.0,9,9,18
CORE_TIER,9,0.25,2.0,512889.0,1.5158966776305862,40128.0,148830.0,1.2373320831260286,364059.0,1.9917863972931888,-32575.0,9,9,18
CORE_TIER,9,0.35,2.8,219417.0,1.19018186356852,97175.0,-28578.0,0.9607311281865251,247995.0,1.5821888865413056,-45535.0,9,9,18
CORE_TIER,9,0.5,4.0,-220791.0,0.8415053300312264,399427.0,-294690.0,0.6646433058392964,73899.0,1.143684597347146,-64975.0,9,9,18
CORE_TIER,9,0.75,6.0,-954471.0,0.4673502871205906,1051387.0,-738210.0,0.3469341174971868,-216261.0,0.6731015155225424,-97375.0,9,9,18
CORE_TIER,9,1.0,8.0,-1688151.0,0.2443343575088899,1717975.0,-1181730.0,0.16633509980867886,-506421.0,0.3797508818342152,-130561.0,9,9,18
CORE_TIER,10,0.0,0.0,1384282.0,3.0954063336799735,11184.0,657922.0,2.5790304851414336,726360.0,3.9773123193900766,-170.0,10,10,20
CORE_TIER,10,0.1,0.9,1017442.0,2.1829799306333113,17383.0,436162.0,1.8040119303497628,581280.0,2.830313144512493,-16370.0,10,10,20
CORE_TIER,10,0.25,2.25,467182.0,1.4030116620817148,52871.0,103522.0,1.1415759041153593,363660.0,1.8496431199841128,-40670.0,10,10,20
CORE_TIER,10,0.35,3.15,100342.0,1.0738532694177454,184406.0,-118238.0,0.8620378235585135,218580.0,1.4357351460723435,-56870.0,10,10,20
CORE_TIER,10,0.5,4.5,-449918.0,0.7286098006607444,625436.0,-450878.0,0.5688521862527037,960.0,1.0015684608660844,-81170.0,10,10,20
CORE_TIER,10,0.75,6.75,-1367018.0,0.36930449550329714,1442521.0,-1005278.0,0.26662299234288916,-361740.0,0.5459662995387367,-121813.0,10,10,20
CORE_TIER,10,1.0,9.0,-2284118.0,0.1670633608132309,2302689.0,-1559678.0,0.10234463039467005,-724440.0,0.278981234044459,-163663.0,10,10,20
SIGNAL_SCALE,1,0.0,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
SIGNAL_SCALE,1,0.1,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
SIGNAL_SCALE,1,0.25,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
SIGNAL_SCALE,1,0.35,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
SIGNAL_SCALE,1,0.5,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
SIGNAL_SCALE,1,0.75,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
SIGNAL_SCALE,1,1.0,0.0,150555.0,2.78770319531686,1229.0,68270.0,2.2851065431819895,82285.0,3.646415591933876,-685.0,1,1,2
SIGNAL_SCALE,2,0.0,0.0,228147.5,2.8936859841630835,2438.5,105712.0,2.3910937993472996,122435.5,3.7522254192330173,36.5,2,2,3
SIGNAL_SCALE,2,0.1,0.1,223617.5,2.818945322032244,2520.5,102984.0,2.328071804394924,120633.5,3.6574767590430453,-129.5,2,2,3
SIGNAL_SCALE,2,0.25,0.25,216822.5,2.712279274725969,2643.5,98892.0,2.2381310096153846,117930.5,3.522253828385662,-397.0,2,2,3
SIGNAL_SCALE,2,0.35,0.35,212292.5,2.6445564266236987,2725.5,96164.0,2.1810277068186283,116128.5,3.436398539778449,-589.0,2,2,3
SIGNAL_SCALE,2,0.5,0.5,205497.5,2.5476773260630527,2848.5,92072.0,2.0993409112618204,113425.5,3.313578509362379,-877.0,2,2,3
SIGNAL_SCALE,2,0.75,0.75,194172.5,2.3976484222043073,3053.5,85252.0,1.9728409713346722,108920.5,3.1233721927635685,-1357.0,2,2,3
SIGNAL_SCALE,2,1.0,1.0,182847.5,2.2603392657742734,3258.5,78432.0,1.857067925517965,104415.5,2.9492868610685883,-1837.0,2,2,3
SIGNAL_SCALE,3,0.0,0.0,305740.0,2.950332667785128,3648.0,143154.0,2.447696290603131,162586.0,3.809067191900344,-864.0,3,3,4
SIGNAL_SCALE,3,0.1,0.2,292150.0,2.779850496213667,3894.0,134970.0,2.3035541819586633,157180.0,3.593600976849331,-1440.0,3,3,4
SIGNAL_SCALE,3,0.25,0.5,271765.0,2.5510550016265916,4263.0,122694.0,2.1101118309145526,149071.0,3.304425791092767,-2304.0,3,3,4
SIGNAL_SCALE,3,0.35,0.7,258175.0,2.4139370074427826,4509.0,114510.0,1.9941830178850495,143665.0,3.131117143577648,-2880.0,3,3,4
SIGNAL_SCALE,3,0.5,1.0,237790.0,2.2278545721175442,4878.0,102234.0,1.8368586490291738,135556.0,2.8959146281766177,-3744.0,3,3,4
SIGNAL_SCALE,3,0.75,1.5,203815.0,1.9608793426145499,5591.0,81774.0,1.611147648799737,122041.0,2.558454328365833,-5184.0,3,3,4
