side,Trade number,route,entry_dt,exit_dt,net,points,at_route_cap,exit_bar_utc,authority_files_overlapping_exit_bar,full_5m_covered,full_30m_covered,best_authority_rank
BUY,748,NY,2021-10-22 09:30:00,2021-10-22 09:30:00,501.0,12.75,False,2021-10-22T13:30:00+00:00,0,False,False,0
BUY,755,WEAK,2021-10-27 18:00:00,2021-10-27 18:00:00,155.5,8.0,False,2021-10-27T22:00:00+00:00,0,False,False,0
BUY,759,WEEKLY,2021-10-31 18:00:00,2021-10-31 18:00:00,311.0,8.0,False,2021-10-31T22:00:00+00:00,0,False,False,0
BUY,762,NY,2021-11-03 09:30:00,2021-11-03 09:30:00,501.0,12.75,False,2021-11-03T13:30:00+00:00,0,False,False,0
BUY,764,NY,2021-11-05 09:30:00,2021-11-05 09:30:00,501.0,12.75,False,2021-11-05T13:30:00+00:00,0,False,False,0
BUY,765,WEEKLY,2021-11-07 18:00:00,2021-11-07 18:00:00,311.0,8.0,False,2021-11-07T23:00:00+00:00,0,False,False,0
BUY,775,WEAK,2021-11-17 18:00:00,2021-11-17 18:00:00,155.5,8.0,False,2021-11-17T23:00:00+00:00,0,False,False,0
BUY,780,NY,2021-11-22 09:30:00,2021-11-22 09:30:00,501.0,12.75,False,2021-11-22T14:30:00+00:00,0,False,False,0
BUY,782,NY,2021-11-23 09:30:00,2021-11-23 09:30:00,501.0,12.75,False,2021-11-23T14:30:00+00:00,0,False,False,0
BUY,788,NY,2021-11-30 09:30:00,2021-11-30 09:30:00,501.0,12.75,False,2021-11-30T14:30:00+00:00,0,False,False,0
BUY,789,PREMIUM,2021-11-30 18:00:00,2021-11-30 18:00:00,311.0,8.0,False,2021-11-30T23:00:00+00:00,0,False,False,0
BUY,790,NY,2021-12-01 09:30:00,2021-12-01 09:30:00,501.0,12.75,False,2021-12-01T14:30:00+00:00,0,False,False,0
BUY,791,WEAK,2021-12-01 18:00:00,2021-12-01 18:00:00,155.5,8.0,False,2021-12-01T23:00:00+00:00,0,False,False,0
BUY,795,WEEKLY,2021-12-05 18:00:00,2021-12-05 18:00:00,311.0,8.0,False,2021-12-05T23:00:00+00:00,0,False,False,0
BUY,796,NY,2021-12-06 09:30:00,2021-12-06 09:30:00,501.0,12.75,False,2021-12-06T14:30:00+00:00,0,False,False,0
BUY,804,NY,2021-12-15 09:30:00,2021-12-15 09:30:00,501.0,12.75,False,2021-12-15T14:30:00+00:00,0,False,False,0
BUY,808,NY,2021-12-20 09:30:00,2021-12-20 09:30:00,501.0,12.75,False,2021-12-20T14:30:00+00:00,0,False,False,0
BUY,812,WEEKLY,2021-12-26 18:00:00,2021-12-26 18:00:00,311.0,8.0,False,2021-12-26T23:00:00+00:00,0,False,False,0
BUY,818,WEEKLY,2022-01-02 18:00:00,2022-01-02 18:00:00,311.0,8.0,False,2022-01-02T23:00:00+00:00,0,False,False,0
BUY,821,NY,2022-01-05 09:30:00,2022-01-05 09:30:00,501.0,12.75,False,2022-01-05T14:30:00+00:00,0,False,False,0
BUY,825,NY,2022-01-07 09:30:00,2022-01-07 09:30:00,501.0,12.75,False,2022-01-07T14:30:00+00:00,0,False,False,0
BUY,826,WEEKLY,2022-01-09 18:00:00,2022-01-09 18:00:00,311.0,8.0,False,2022-01-09T23:00:00+00:00,0,False,False,0
BUY,827,NY,2022-01-10 09:30:00,2022-01-10 09:30:00,501.0,12.75,False,2022-01-10T14:30:00+00:00,0,False,False,0
BUY,829,NY,2022-01-11 09:30:00,2022-01-11 09:30:00,501.0,12.75,False,2022-01-11T14:30:00+00:00,0,False,False,0
BUY,831,NY,2022-01-13 09:30:00,2022-01-13 09:30:00,501.0,12.75,False,2022-01-13T14:30:00+00:00,0,False,False,0
BUY,836,NY,2022-01-18 09:30:00,2022-01-18 09:30:00,501.0,12.75,False,2022-01-18T14:30:00+00:00,0,False,False,0
BUY,843,NY,2022-01-24 09:30:00,2022-01-24 09:30:00,501.0,12.75,False,2022-01-24T14:30:00+00:00,0,False,False,0
BUY,846,PREMIUM,2022-01-25 18:00:00,2022-01-25 18:00:00,311.0,8.0,False,2022-01-25T23:00:00+00:00,0,False,False,0
BUY,847,NY,2022-01-26 09:30:00,2022-01-26 09:30:00,501.0,12.75,False,2022-01-26T14:30:00+00:00,0,False,False,0
BUY,849,NY,2022-01-27 09:30:00,2022-01-27 09:30:00,501.0,12.75,False,2022-01-27T14:30:00+00:00,0,False,False,0
BUY,850,PREMIUM,2022-01-27 18:00:00,2022-01-27 18:00:00,311.0,8.0,False,2022-01-27T23:00:00+00:00,0,False,False,0
BUY,851,NY,2022-01-28 09:30:00,2022-01-28 09:30:00,501.0,12.75,False,2022-01-28T14:30:00+00:00,0,False,False,0
BUY,852,WEEKLY,2022-01-30 18:00:00,2022-01-30 18:00:00,311.0,8.0,False,2022-01-30T23:00:00+00:00,0,False,False,0
BUY,853,NY,2022-01-31 09:30:00,2022-01-31 09:30:00,501.0,12.75,False,2022-01-31T14:30:00+00:00,0,False,False,0
BUY,857,PREMIUM,2022-02-02 18:00:00,2022-02-02 18:00:00,311.0,8.0,False,2022-02-02T23:00:00+00:00,0,False,False,0
BUY,860,NY,2022-02-04 09:30:00,2022-02-04 09:30:00,501.0,12.75,False,2022-02-04T14:30:00+00:00,0,False,False,0
BUY,861,WEEKLY,2022-02-06 18:00:00,2022-02-06 18:00:00,311.0,8.0,False,2022-02-06T23:00:00+00:00,0,False,False,0
BUY,862,NY,2022-02-07 09:30:00,2022-02-07 09:30:00,501.0,12.75,False,2022-02-07T14:30:00+00:00,0,False,False,0
BUY,864,NY,2022-02-09 09:30:00,2022-02-09 09:30:00,501.0,12.75,False,2022-02-09T14:30:00+00:00,0,False,False,0
